DM_callose_f: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_pcb_c: Minimum = 0.0, Maximum = -3.244034996542596e-08, Range = -3.244034996542596e-08
DM_fe2_h: Minimum = 0.0, Maximum = 10.0, Range = 10.0
DM_starch_h: Minimum = 0.0, Maximum = -5.947397510998147e-10, Range = -5.947397510998147e-10
DM_tag_c: Minimum = 0.0, Maximum = -1.9464211599099567e-08, Range = -1.9464211599099567e-08
CITALALDOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALDM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DDMCITALOR: Minimum = 5.293598829568365e-13, Maximum = 0.0, Range = -5.293598829568365e-13
DMCITALDM: Minimum = 5.549029324504093e-13, Maximum = 0.0, Range = -5.549029324504093e-13
DMCITALOR: Minimum = 0.0, Maximum = -4.282126329971289e-08, Range = -4.282126329971289e-08
LIDOAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LIDODM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LIDOMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MEGLYXYLAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYTP450R: Minimum = 0.0, Maximum = 0.0, Range = 0.0
56DH5FLURAAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FLURAOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FLURAPRT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6MPURPRT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6TINS5MPOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6TXAN5MPAML: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AFLBURPPAAMH: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TEGAMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
